Name,Price,Quantity
Pastry - Mini French Pastries,70,835
Lemonade - Pineapple Passion,51,836
Chips Potato Salt Vinegar 43g,77,837
Lettuce - Lolla Rosa,49,838
Butter Ripple - Phillips,87,839
Tea - Earl Grey,50,840
Milk - 1%,56,841
Wine - Chateauneuf Du Pape,88,842
"Veal - Inside, Choice",65,843
Cheese - Feta,9,844
Potatoes - Peeled,85,845
Cheese - Grana Padano,68,846
Wine - Stoneliegh Sauvignon,94,847
"Tortillas - Flour, 10",69,848
"Loaf Pan - 2 Lb, Foil",26,849
Extract - Raspberry,100,850
Mayonnaise,6,851
Mousse - Passion Fruit,76,852
Cleaner - Lime Away,16,853
Lettuce - Frisee,2,854
Beer - Mcauslan Apricot,56,855
"Mushroom - Porcini, Dry",77,856
"Veal - Brisket, Provimi, Bone - In",5,857
Longos - Lasagna Veg,21,858
Chocolate Liqueur - Godet White,99,859
Cheese - Pied De Vents,54,860
Eel - Smoked,88,861
"Pepper - Red, Finger Hot",70,862
Bread Ww Cluster,8,863
Salt - Seasoned,2,864
Plate Pie Foil,15,865
Trout Rainbow Whole,13,866
Squid U5 - Thailand,89,867
Turkey Leg With Drum And Thigh,39,868
Bread - 10 Grain,71,869
Bar Nature Valley,1,870
Triple Sec - Mcguinness,30,871
Cumin - Ground,75,872
Creme De Menth - White,26,873
Broom - Corn,27,874
"Juice - Apple, 500 Ml",89,875
"Beef - Outside, Round",14,876
"Pasta - Penne, Rigate, Dry",82,877
Bok Choy - Baby,94,878
Bread - Dark Rye,93,879
Carbonated Water - Raspberry,11,880
"Nut - Peanut, Roasted",38,881
Cake - Box Window 10x10x2.5,58,882
Veal - Leg,26,883
"Bread - Bagels, Plain",100,884
Tea - Decaf 1 Cup,3,885
Icecream - Dstk Cml And Fdg,98,886
Water - Evian 355 Ml,84,887
Truffle Cups - White Paper,6,888
Steampan - Lid For Half Size,91,889
Wine - Chianti Classica Docg,44,890
Water - Green Tea Refresher,8,891
Bagels Poppyseed,99,892
Salmon - Canned,83,893
Sugar - Splenda Sweetener,3,894
Edible Flower - Mixed,67,895
Filter - Coffee,38,896
Tea - Herbal Sweet Dreams,43,897
Port - 74 Brights,75,898
Langers - Cranberry Cocktail,65,899
Daves Island Stinger,89,900
Carrots - Jumbo,74,901
Wine - Riesling Alsace Ac 2001,37,902
Honey - Liquid,36,903
Magnotta Bel Paese Red,54,904
Beef - Short Ribs,53,905
Lotus Leaves,70,906
Flour - Bread,59,907
Chivas Regal - 12 Year Old,80,908
Beer - Guiness,46,909
Buffalo - Tenderloin,23,910
Waffle Stix,31,911
Yogurt - Plain,35,912
Sesame Seed,68,913
Syrup - Monin - Blue Curacao,74,914
Wine - Lamancha Do Crianza,4,915
Yogurt - Assorted Pack,54,916
Crush - Cream Soda,12,917
Beef - Top Butt Aaa,4,918
Vinegar - White,80,919
Tea - Decaf 1 Cup,48,920
Ecolab Silver Fusion,19,921
Puree - Passion Fruit,77,922
Maintenance Removal Charge,27,923
Shrimp - Black Tiger 6 - 8,6,924
Bread - Bistro White,52,925
Capon - Whole,66,926
Sachet,9,927
Wine - Sicilia Igt Nero Avola,72,928
Cotton Wet Mop 16 Oz,3,929
Pepper - Chilli Seeds Mild,74,930
Cups 10oz Trans,66,931
Nutmeg - Ground,87,932
"Beef - Chuck, Boneless",16,933
Zucchini - Green,69,934
Bols Melon Liqueur,31,935
Bread - Wheat Baguette,81,936
Pork - Hock And Feet Attached,33,937
Bread - Burger,40,938
"Cheese - Havarti, Salsa",94,939
Lid - 16 Oz And 32 Oz,39,940
Haggis,73,941
Wine - Magnotta - Belpaese,74,942
Water - Perrier,52,943
Pepper - Cubanelle,77,944
Appetizer - Lobster Phyllo Roll,24,945
Lettuce - Iceberg,38,946
Cognac - Courvaisier,41,947
Slt - Individual Portions,56,948
Cheese - Le Cheve Noir,25,949
Tofu - Firm,16,950
Longos - Chicken Caeser Salad,24,951
Cheese - Wine,55,952
Salt - Kosher,28,953
Sachet,11,954
Sauce - Salsa,71,955
"Pasta - Lasagna Noodle, Frozen",60,956
Langers - Mango Nectar,11,957
Pastry - Raisin Muffin - Mini,49,958
"Tomatoes - Vine Ripe, Red",35,959
Cornish Hen,6,960
Fennel - Seeds,83,961
Potatoes - Idaho 80 Count,16,962
Orange Roughy 4/6 Oz,39,963
Chick Peas - Canned,26,964
Sugar - Icing,65,965
Sour Puss Sour Apple,79,966
Irish Cream - Butterscotch,38,967
Lettuce - Green Leaf,6,968
Container - Clear 16 Oz,56,969
Sprouts - Corn,42,970
Muffin Batt - Choc Chk,45,971
"Tortillas - Flour, 10",93,972
Soup - French Can Pea,24,973
V8 Splash Strawberry Banana,39,974
Chick Peas - Canned,93,975
Mini - Vol Au Vents,12,976
Roe - White Fish,62,977
"Nut - Pine Nuts, Whole",13,978
Versatainer Nc - 8288,100,979
Maintenance Removal Charge,66,980
Lighter - Bbq,9,981
Dried Cherries,48,982
Lid Tray - 12in Dome,71,983
Langers - Cranberry Cocktail,13,984
Foam Tray S2,28,985
Nut - Macadamia,88,986
Carbonated Water - Cherry,80,987
Longos - Grilled Salmon With Bbq,100,988
"Marjoram - Dried, Rubbed",47,989
"Pork - Loin, Boneless",64,990
Carbonated Water - Raspberry,27,991
Island Oasis - Wildberry,67,992
Food Colouring - Orange,59,993
"Ecolab - Orange Frc, Cleaner",62,994
Basil - Pesto Sauce,89,995
Creme De Cacao Mcguines,93,996
Pastry - Baked Cinnamon Stick,67,997
Rabbit - Saddles,67,998
Rice - Brown,66,999
Flower - Carnations,81,1000
